Year,VUF101A,VUF101B,VUF102A,VUF102B,VUF104A,VUF104B,VUF105A,VUF105B,VUF105C,VUF106A,VUF106B,VUF107A,VUF107B,VUF108A,VUF108B,VUF109A,VUF109B,VUF110A,VUF110B,VUF111A,VUF111B,VUF112A,VUF112B,VUF114A,VUF114B,VUF115A,VUF115B,VUF116A,VUF116B,VUF117A,VUF118A,VUF119A,VUF119B,VUF119C,VUF120B,VUF122A,VUF122B,VUF125A,VUF128A,VUF128B,VUF129A,VUF129B,VUF130A,VUF130B,VUF131A,VUF131B,VUF132A,VUF132B,VUF133A,VUF133B,VUF135A,VUF136B,VUF137A,VUF137B,VUF139A,VUF140A,VUF140B,VUF142A,VUF142B,VUF143A,VUF143B,VUF144A,VUF144B,VUF145A,VUF145B,VUF146A,VUF146B,VUF147A,VUF148A,VUF148B,VUF149A,VUF150A,VUF151A,VUF151B,mean,count
1961,5.796995818,6.378764279,0.956586124,1.098798254,0.494546633,0.749248271,NA,0.439624982,0.934974212,0.912549645,1.443038031,1.992143914,1.702713199,0.818815986,2.18466098,4.415047224,2.542278163,1.205926583,1.503846522,2.644195107,1.989032416,0.864426073,1.256362916,0.892146906,NA,1.226908068,1.215543722,1.072517766,1.315098712,NA,NA,NA,2.734941697,NA,0.442682052,0.166657934,0.195887259,0.360408126,NA,NA,1.837716358,1.642332107,0.730262592,0.238429736,0.079399579,NA,0.11178996,0.41107306,1.936162358,4.902783482,0.012195331,0.089422384,2.704659762,4.146168426,6.333539302,2.834260764,1.708066845,NA,NA,0.708329209,0.650634363,4.142080295,4.658511296,1.172972434,1.31659922,0.700771206,1.271174352,2.66016698,2.016780421,3.068552053,3.062171105,NA,1.542540197,1.444666146,1.775509337,36
1962,6.040280089,5.555084064,1.0890539,1.151762218,0.514519504,0.820822892,NA,0.419979467,0.88782067,0.940120286,1.380234896,1.605961956,1.735842205,1.069833072,2.914493287,6.609040483,2.81132121,1.32264448,1.154486556,2.245522447,1.784606762,0.841433879,1.363386024,1.193526354,NA,1.109863233,0.796536248,0.893892398,1.071074052,NA,NA,NA,2.330992473,NA,0.628854805,0.326801689,0.090534734,0.323950622,NA,NA,2.311297749,2.157965448,0.937779908,0.287616185,0.233462627,NA,0.120655787,0.228057255,1.644156491,2.912070602,0.055042126,0.170926615,2.574867718,4.72238699,6.845495109,2.452562711,1.388101872,NA,NA,0.617490804,0.423715405,5.109719051,5.957387395,1.142333909,1.307248566,0.616385402,1.098102849,3.013503114,1.821083397,3.302387847,3.038187875,NA,1.424192063,1.41182934,1.812101438,36
1963,2.797882754,2.400511635,0.488412562,0.462870408,0.094042631,0.168689759,NA,0.087043556,0.291622151,0.452006941,0.488028107,0.596678171,0.641340557,0.624800962,1.086262227,3.256746731,1.768185573,0.425857491,0.436593414,1.022858242,0.779983909,0.651825123,0.964099212,0.473307869,NA,0.98342299,0.679905982,0.371499769,0.612464466,NA,NA,NA,0.794418493,NA,0.421658207,0.198500051,0.275234682,0.050301938,NA,NA,1.134396113,1.181798506,0.375545943,0.061959552,0.114206701,NA,0.007038771,0.167191949,1.187463751,1.279317396,0.079977078,0.108645859,1.197345496,2.356827453,4.023186183,1.151855899,0.748347008,NA,NA,0.310446037,0.212659151,2.233006609,1.929342586,0.743569553,0.885093436,0.436168922,0.507660447,1.864557749,0.791788632,1.654597034,1.299415181,NA,0.862898908,0.910806816,0.881680182,36
1964,2.104475856,2.915151198,0.491116337,0.483355452,0.078484988,0.215424306,NA,0.124690227,0.999307793,0.320075309,0.309332744,0.558985847,0.520435933,0.850557186,1.616154914,6.127678355,3.00937071,1.177644162,0.816124449,0.773122623,0.710900952,0.647274211,0.801912328,0.423510331,NA,0.833489777,1.107729947,0.351150808,0.811259478,NA,NA,NA,2.776905571,NA,0.440041234,0.329594948,0.140640109,0.081152785,NA,NA,1.172280936,1.284458387,0.369358369,0.141203891,0.158222332,NA,0.146538004,0.395806563,0.942573016,0.642664448,0.068109048,0.118305188,1.832227696,3.340753757,5.450409109,2.775151045,1.663704206,NA,NA,0.526452071,0.465840145,3.313561005,3.35308345,1.543206469,1.570842842,0.486796609,0.635690129,2.400884228,1.107576443,2.236728424,3.524994129,NA,1.564347342,1.650861269,1.255317442,36
1965,4.974076667,6.051134838,1.447886728,1.50592169,0.504806094,0.822936227,NA,0.401717835,0.931608515,0.825222121,1.127202375,1.654742124,1.769804514,2.239488109,3.957685868,9.416395215,5.729298541,1.866091314,1.781299818,2.662247288,2.364943237,1.621617969,1.751571013,1.083498308,NA,1.720998851,1.552848252,0.949373634,2.076989553,NA,NA,NA,5.227666389,NA,1.021701581,0.43600836,0.281039936,0.375431088,NA,NA,2.598971528,2.726858213,0.706870668,0.333671701,0.1717752,NA,0.302108129,0.810739601,2.089532406,2.135032554,0.06850946,0.312395796,3.350072896,5.420330109,7.896365989,4.445057272,2.253291357,NA,NA,1.00324521,0.880322934,6.94443282,6.855448952,1.708442866,2.060887448,1.042226248,1.490724216,4.377908006,2.677772458,3.981349074,7.15104356,NA,2.47100716,2.620648119,2.435811226,36
1966,5.656428726,7.239772537,1.301681939,0.657825567,0.52512087,1.025294412,NA,0.278579143,0.720510719,0.736644833,0.902691584,1.233129916,1.391909241,2.432336945,4.095162641,11.75687778,7.545238299,2.22081704,2.184444313,3.980742018,3.07424539,1.572168917,1.885514872,1.311001502,NA,1.757056489,1.431910268,0.846232853,1.403961808,NA,NA,NA,6.481996876,NA,1.099026346,0.468153527,0.396924463,0.906669178,NA,NA,2.631536923,2.369285591,0.71191426,0.346848962,0.152724816,NA,0.623382624,0.740940326,1.629613594,2.15693096,0.112971615,0.223117684,3.887451368,6.327279207,8.343038328,3.612701297,1.752844737,NA,NA,0.99481637,0.849590198,9.725689855,10.75201822,1.656049655,1.798426296,1.148655212,1.591717573,4.231024515,3.144837456,3.743773849,8.507889825,NA,2.73842952,2.843863247,2.707571534,36
1967,4.688471284,5.033034733,1.555882339,0.988924494,0.481390299,0.768519593,NA,0.318943327,1.010710402,0.629411644,0.799205679,1.357001599,1.893730782,2.160625056,3.211901172,8.938417428,6.581539035,2.590140965,2.342899024,2.88467405,2.193312216,1.635474619,1.362206252,1.080554462,0.389836607,1.608887847,1.399773689,1.443399033,2.085265812,NA,1.482447066,NA,5.399332887,NA,1.335161192,0.604035563,0.488765696,0.841065498,NA,NA,3.081406799,1.955985209,0.583668419,0.413460076,0.233117461,NA,0.670878369,0.632508289,1.642695953,1.615554037,0.114047907,0.25358852,4.771850635,6.50967574,7.477320781,5.173434489,2.100461039,NA,NA,0.803887837,0.817730913,9.663176109,10.91117194,1.983108105,1.657065411,1.046149005,1.31334881,4.380759789,2.612665543,2.52722225,8.952901731,NA,1.95052765,1.893478216,2.489496693,37
1968,6.325933895,8.335940835,1.931011239,1.038897123,0.59898205,0.974294721,NA,0.437826907,1.269460992,0.789232442,0.887085127,3.260136075,4.098676362,3.013682993,4.340029029,14.37608953,9.601723379,3.434687831,3.035926341,3.12953973,2.924176968,1.216159206,1.318049355,1.239732096,0.51709257,1.769585642,1.833772939,2.29736679,2.859118105,NA,1.666633898,NA,10.88268569,NA,1.828906839,0.715300672,0.767908176,0.642951713,NA,NA,4.371230787,2.747872597,0.901379224,0.662426736,0.306454926,NA,0.917540007,0.774190809,2.603193153,1.961346626,0.108702462,0.284977628,5.052308083,6.655931886,11.16061318,7.031177418,3.431789367,NA,NA,1.096606495,1.230492695,9.979627651,13.9059976,2.299044883,1.915049207,1.168165574,1.656191942,5.48740524,4.387703259,3.664400749,13.07668141,NA,2.730818411,2.560083477,3.398250012,37
1969,9.018249962,12.34033066,2.214530995,1.370091924,0.818699908,1.306036756,NA,0.652392708,1.182923207,0.767273459,0.778522255,3.523602902,4.588105794,4.382438968,6.371261631,14.84940321,11.88748097,5.21586665,4.590763276,4.106175111,3.61526016,1.481027772,1.252084828,1.579460314,0.671217461,2.274594234,1.879892204,2.096896194,2.73074621,NA,2.392535485,1.071845139,10.51751469,NA,2.149016655,0.873622546,0.965947219,0.69046759,NA,NA,3.34142726,2.968336663,1.217836013,0.85822007,0.419660307,NA,1.334376197,1.125825821,5.639303739,2.822824935,0.168116981,0.356141972,7.909713586,9.80775446,12.81254761,8.9576917,4.279595694,NA,NA,0.882579119,1.062078145,14.09142819,16.45873758,2.830420258,2.07701255,1.630735241,2.569196841,6.154588481,5.797944659,4.623446619,12.73420335,NA,3.366911375,3.19002444,4.118383983,37
1970,8.562199709,13.92883187,1.783146479,1.622689549,0.862776018,1.759781603,NA,0.809714455,1.15583174,1.080722259,0.945498565,4.161424132,4.722561895,4.700719697,6.682652967,14.23895477,11.33620392,5.652242344,3.536423499,3.758041817,3.111732987,1.240822864,0.943864929,1.497235496,0.784078273,2.203678594,1.990193114,2.082958922,2.57325275,NA,2.593104401,1.544760995,10.96345368,NA,2.089218918,0.896276303,1.162862851,0.564632533,NA,NA,2.985757446,2.634916011,1.311839411,0.817731682,0.455810814,NA,1.433086249,1.45592338,6.269367997,3.750730022,0.269709362,0.410538127,7.422825914,8.951258337,13.80777866,11.25840863,6.359807829,NA,NA,0.828468336,0.866680899,14.01125563,16.61633381,2.155624676,1.820653744,1.703577173,2.394390997,5.591263481,5.665819982,4.971317034,13.58202532,NA,3.482944169,3.191191519,4.21568587,37
1971,6.475972634,7.675093349,1.443362704,1.209549457,1.17973126,1.525150819,NA,0.893228941,NA,1.33671875,1.056548087,3.987773827,4.418276149,3.0866676,6.971376929,9.977363665,7.391393932,3.91977647,3.434972461,3.068615467,3.284690205,1.199471682,0.918649153,1.372698152,0.753813224,2.195122801,1.58539761,1.648854098,2.195718728,NA,2.09854691,2.000555155,6.952348707,NA,1.999424367,0.872425165,1.078547419,0.338789374,NA,NA,2.029033252,1.947577995,0.746623506,0.564789159,0.430807884,0.211828787,0.890821597,0.838658204,4.815698036,3.602848251,0.167231842,0.357211952,6.487910226,7.248460546,13.84889434,8.374382448,5.056561053,NA,NA,0.81469846,1.063055774,8.338067499,10.40767688,1.668400938,1.573115056,1.34204533,1.505416097,3.768602878,3.354337645,3.440971144,6.868487762,NA,2.656090756,2.219893282,3.172104982,37
1972,7.720847161,10.52545333,2.70734951,1.916693758,1.809152566,1.809449476,NA,0.911123724,NA,1.808847339,1.72670032,5.344554584,6.265225599,3.973866689,4.400348728,14.12543227,10.17060313,5.439854966,4.851036066,3.81339873,5.11199516,1.442075848,1.191782434,1.890310732,1.08634183,2.527325044,2.313112952,2.151084335,2.71927413,NA,3.00829508,1.719916635,10.15031686,1.281018836,2.829177221,1.107469645,0.953563153,0.293043382,NA,NA,4.272833904,3.549715167,1.270335708,0.875339739,0.787449487,0.472359559,1.306000176,1.364981181,5.886524331,5.901175586,0.15571691,0.311547574,8.864491237,11.06458968,14.51787256,9.396269142,5.698257957,NA,NA,0.990942979,1.393118858,11.45104882,13.14000983,2.354543642,2.11136298,1.586891934,2.108025135,5.883679347,4.831251114,4.834353119,10.64963869,NA,4.521041005,3.793845161,4.188503844,38
1973,7.143971433,10.66058427,2.04891016,2.914887901,1.856878235,1.048950977,NA,0.673919056,NA,1.604626539,0.889893263,4.308783921,4.002813633,2.837919168,5.092722753,13.1959772,10.78100452,5.361011804,5.346439541,3.903072075,4.345496967,0.784275434,1.343111287,1.463571525,1.1504871,1.420553816,1.274263648,2.129690333,2.087604955,NA,2.672530836,2.37043254,9.379527816,2.031559434,2.321441075,0.983387197,0.977443536,0.329306119,NA,NA,4.264004818,3.277151439,1.009593469,0.881045755,0.964542759,0.703603922,1.072742314,1.158454258,3.672709041,3.856366761,0.205801728,0.243713673,7.862390851,8.042550426,11.45303946,6.454891936,5.937648404,NA,NA,0.97954074,0.982603226,11.78295613,15.58149686,1.811594664,1.601084732,1.558539266,1.644246349,6.8871303,5.24100984,4.197986568,9.46099534,0.610480767,4.79640874,4.510217607,3.782740182,39
1974,4.969642216,7.388876007,1.134816356,1.73197514,0.991794435,0.401693925,NA,0.397520939,NA,1.404242085,0.466323854,3.731835441,3.997314473,2.267548151,4.288009137,7.177758225,7.554684913,3.016673633,2.84268391,2.622409104,3.297189015,0.412776882,0.61258241,0.587563828,0.670532467,1.04625035,1.046649472,1.977388438,1.552805735,NA,2.596381573,1.582543121,5.916910247,1.607339529,2.510417673,0.853753558,0.779843626,0.178822645,NA,NA,2.617940668,2.085607546,0.499017236,0.657167222,1.072527884,0.538462377,0.528580837,0.51193194,1.985340375,3.105602593,0.2088605,0.504418043,7.450152745,6.129642636,16.17159537,10.23121888,6.47094329,0.154983359,0.04526801,0.708626656,0.905533193,8.12364276,9.981369088,1.16247135,0.906228565,1.193497026,1.091792245,4.786334327,3.04147928,2.984180156,8.355291054,0.383628438,2.654474174,2.637417936,2.804359134,40
1975,9.188666418,12.24491495,2.871344457,3.387558397,1.930156621,1.254907017,NA,0.099887885,NA,2.085149884,1.538733005,6.268162443,6.245484055,3.844398007,3.422060794,14.46701689,18.30735508,7.090674442,6.014398621,5.822026395,6.630872088,1.218032472,1.570764471,1.597619001,1.494275758,1.80545538,1.881605492,2.250850943,1.5307675,NA,3.419645372,1.637745547,8.108959529,1.693995212,3.070306052,1.110682496,0.850697125,0.387228774,NA,NA,5.238672749,4.838962884,1.234385515,1.834544088,1.848123915,0.918925321,1.211380812,1.165176663,3.081120235,4.074586486,0.247551488,0.715270967,11.10049598,10.28266045,15.93122846,16.49790232,11.04202708,0.356181682,0.131438682,1.344749531,1.791049424,16.08658779,17.51540612,3.03625174,2.493902044,2.044578095,1.949103438,7.114374102,6.577726029,6.27806119,13.50306092,0.61877052,6.364851281,5.940535577,4.793507857,40
1976,6.008847518,8.207014111,1.347612122,2.220536899,1.200223088,0.747597921,NA,0.200385587,NA,1.465599668,1.068746588,4.530718704,4.374077893,2.631159429,6.35977365,7.850840386,10.66487149,3.647992627,3.967682437,3.870011047,4.439361853,1.310546153,1.739396997,1.634184448,1.442595758,1.491155462,1.853585452,1.644423694,1.093765241,NA,2.601036709,2.503516074,5.71975449,2.071995582,2.213943192,1.120535508,1.18670121,0.16857144,NA,NA,3.674422851,3.259631752,1.040514044,1.911514965,0.735161891,0.579051605,0.642619482,0.841537788,2.136753086,2.927361648,0.324448874,0.548147713,7.778322536,6.561698043,11.16289547,10.15553006,6.910619071,0.25401452,0.166220596,1.097237555,1.263055523,9.77831155,10.13973165,1.710866816,1.646752236,1.068354064,1.160720551,4.987085499,3.940951456,3.602554228,9.577153805,0.934414352,4.799400724,4.377736597,3.279616711,40
1977,6.207104023,8.166796837,1.895197423,2.335730523,1.602714946,0.944336983,NA,0.548007506,NA,2.218646801,1.563177871,4.296039697,5.282063966,2.713170588,4.123536599,8.985170684,9.60829659,3.492254009,4.059887698,4.683576619,3.511209937,1.061835688,1.916389333,1.931254168,1.542471907,1.808535398,1.590800251,1.569350796,1.507662313,NA,3.243322965,1.801121036,6.199378466,1.694677244,2.892859952,1.581558793,1.244128224,0.194581441,NA,NA,3.698590635,3.663179617,1.108212666,3.05032126,0.749990624,0.72113835,0.818003412,0.920865923,3.065650407,4.911052219,0.435960154,0.668854879,9.195585254,8.27272746,10.26434737,10.87116377,7.463611532,0.281946184,0.255098081,1.376445589,1.300466613,13.31363256,12.53415503,1.609739812,1.261123396,1.177324189,1.155462629,4.58542116,3.996005218,3.982917099,9.773383762,1.334486038,4.991770913,4.773031891,3.559398739,40
1978,8.175560733,9.4999847,3.27174086,2.662594197,1.909352597,1.785647553,NA,0.656729062,NA,2.877865816,2.436751771,7.075227043,7.278990833,3.136059874,4.33830033,12.76660446,12.89149701,6.335289305,7.554235942,6.17491202,7.285915769,2.038625764,2.897687232,2.632277388,1.671162762,1.864213374,1.992960765,1.887721555,1.613630261,NA,4.253121569,2.257299374,8.015399169,2.458287747,3.309973131,1.777120173,1.157817345,0.378715,NA,NA,6.112591389,5.49969398,1.777944944,3.016151612,1.639804764,1.141694963,1.451023992,1.913763356,4.334220321,6.605063876,0.501992215,0.853584524,12.04120805,11.00371092,14.30146613,13.49642705,10.98267267,0.48291493,0.28632563,1.983934136,1.72742125,12.56347184,12.85780634,2.917148723,1.844931841,2.002736029,1.462754857,6.095319491,5.819895115,6.163522917,11.46664674,2.316156171,6.992496495,6.519695963,4.760803851,40
1979,14.208556,11.64432133,3.644633162,3.24581599,2.39625915,2.599973192,NA,1.323772846,NA,2.790370099,2.440702799,7.186321805,8.414359974,4.690026896,4.561256513,13.15110635,15.95964777,7.472265745,8.215584249,8.816154227,10.21867423,2.801836647,3.354495434,2.858267274,3.495844535,2.052068908,2.46152348,2.324672135,2.200479905,NA,4.741909925,3.353016252,10.39239615,2.860390475,3.15190983,1.910554291,1.265745979,0.531029414,NA,NA,4.039893572,9.485289386,1.607245485,2.637174287,1.703423805,0.887985589,1.578897704,1.988293977,5.108690945,5.39357734,0.652911552,1.536328182,14.66545312,13.14719547,10.34461234,20.01640809,14.84558427,0.506884524,0.34993856,2.181773307,1.847067424,13.88696591,13.49928263,2.893894579,2.318059355,2.311376822,1.954260677,6.553561601,6.61447119,6.454194317,14.48155521,2.523708771,7.540204699,7.081394808,5.585123224,40
1980,11.19600134,8.923410792,2.699547433,2.270224585,1.839527434,1.715141187,1.55484542,1.930992076,NA,1.654336188,1.566187362,6.22192313,6.550574285,3.937136237,5.041974118,10.19530171,13.43079343,5.2672878,5.263131465,6.684130876,7.235398413,2.342465079,2.951493557,2.339640254,3.226223194,1.649195698,1.952666279,1.946799842,1.565696193,NA,3.21776385,3.234592663,6.581687857,3.222583125,2.483924291,1.441492032,1.538396605,0.475337238,NA,2.968486089,4.00180858,6.115335213,1.151653049,2.110566616,0.722509019,0.696848014,1.350145812,0.788366635,3.403053464,3.987707527,0.953252777,0.503238752,10.99531052,9.620912988,8.570645279,16.17341096,11.42811762,0.473367702,0.474714614,1.751930155,1.923942716,9.782067909,9.643088859,2.084955943,1.993398971,1.747973977,1.599057943,5.328641556,5.175001064,5.603872075,10.43425499,1.965099471,5.801719415,5.489643768,4.255801734,41
1981,13.56767714,12.09774004,2.887656119,3.546738346,2.530658016,2.038276165,1.29595224,1.213071516,NA,2.100827315,1.772909557,7.772688228,7.945785709,5.300176605,3.660595847,13.56533491,17.30258809,5.565169929,6.247207106,8.148307322,9.493006653,3.592248868,4.418537527,2.568673271,4.138439332,3.079246961,2.752275255,3.480772714,2.670435829,NA,5.728308243,2.659614955,11.9111394,2.345541134,3.340850935,2.184313651,0.990289118,0.459531023,NA,8.278029271,6.009682836,7.774323898,1.258277106,3.210915249,0.373726229,1.009114453,1.436556624,0.624633152,5.785892264,6.472015978,1.65632308,0.817269321,20.80627341,19.02342179,11.35384344,19.31053459,16.16000558,0.778133858,0.672916346,2.160745654,2.436753129,15.31698073,13.65756,2.378289877,2.250869059,1.676435986,1.502663741,6.197309792,4.680500506,5.81610474,14.56479553,1.736690306,6.50985285,5.894797273,5.68964539,41
1982,22.99287671,14.30191056,3.992140632,5.390190453,2.858184551,2.550942429,0.805741016,1.793077804,NA,1.946843177,1.629091845,9.681073733,8.178229455,6.589756463,9.461766323,14.6656606,17.9204433,7.55260073,8.187472058,10.61021303,12.5099828,3.776711454,4.471573829,2.036937065,3.726082185,3.517888538,2.635256568,3.353778937,3.198022486,NA,5.651557904,3.98312392,13.80989357,3.414377683,2.45049191,2.147980435,1.473542925,0.496803751,NA,15.96867427,7.04704234,7.147019234,1.525949098,3.611503127,0.531262666,1.742093071,1.52669107,0.719544985,6.144292661,6.478486208,2.391082666,0.483952526,15.5213322,15.73445093,12.80028114,21.59783306,15.1112306,0.451429734,0.490041917,2.370137364,2.485263028,19.49603407,16.84130439,2.795290908,2.656227161,2.498171831,2.115347921,8.226655242,8.016284536,7.960216376,14.41033269,1.807512298,8.500793484,7.329859511,6.595716129,41
1983,21.11372396,15.44256152,2.900557592,3.686950113,2.424855871,1.8314757,0.855085274,2.455782922,NA,1.875984466,1.251676433,10.04076845,7.654194989,5.407618787,4.497428,14.91176265,17.39466091,6.436710874,7.337615572,9.187254394,13.45804939,3.170719642,3.691935254,1.751599664,2.894622081,2.13358668,2.548122755,2.160081157,1.977526217,NA,3.166763728,4.028672453,10.51298301,3.539724628,2.08834318,1.585570045,1.458848864,0.414744423,NA,26.49143517,6.745814727,5.627380144,1.597160086,3.223244244,0.676044818,2.525318292,0.752127587,0.585440202,5.338215668,10.76428998,2.112779232,0.313420894,13.09628539,11.51170975,8.703738109,13.93543009,9.499488444,0.235122807,0.288727913,2.489761743,2.1833065,18.03657945,15.47750879,2.321566398,2.019243198,2.616952396,2.525305785,7.677876,8.727417828,7.300091759,9.817318575,1.522938677,7.386079113,6.848170004,5.891011992,41
1984,13.52107906,9.1182148,2.098835962,2.403172035,1.730402874,1.136571527,0.790099281,1.811160618,NA,1.320004725,0.734678252,7.028722952,5.944555219,4.106010561,2.988038728,10.92708417,12.5872988,4.532901091,6.055083245,5.384348487,8.731066293,3.814178463,3.977529537,1.405377394,2.236624165,2.585861342,3.019937309,2.611422631,1.970809819,NA,2.67429358,2.160150622,8.082344685,1.738416725,1.363495965,0.92683038,0.982574411,0.205482792,21.15925068,22.96853477,4.399344149,3.476094394,1.58013297,2.449085131,1.270400061,2.416472935,0.530321912,0.537079373,5.297961648,8.418974923,1.109325481,0.201901822,14.61989793,13.65571182,5.813698254,11.32514093,6.803486473,0.230054275,0.415688876,2.157822489,1.889520831,12.23882206,9.743348939,2.005360056,1.734197811,1.778708525,1.806381225,5.957984595,5.861327653,5.847407525,8.64917737,1.41296082,5.234332233,4.82622904,4.757316646,41
1985,21.87005063,13.04374194,1.650379298,2.524233148,1.826735521,1.104448369,0.62722106,1.020948625,NA,0.937831047,0.410667221,5.459938453,6.387884716,4.569323109,4.42451598,16.93444579,18.15878164,5.399355009,7.727517224,5.035569171,7.161138616,5.491130675,5.867871778,0.977185895,2.10978684,2.117315989,2.400628628,1.455443826,1.032916817,0.575071845,2.655233074,2.096564421,10.16095588,1.79805972,1.298952064,0.642250057,0.501159257,0.207273268,34.4636337,31.84919221,4.195547031,3.730589488,1.633842074,2.576165076,1.317340783,2.711629475,0.499098961,0.65059473,5.468941168,6.750622409,0.654686259,0.190214532,15.10606031,13.29325122,4.491895108,13.14479663,7.204041686,0.13157001,0.258056042,2.038640327,2.122024602,18.15000856,16.70220838,2.044576206,1.737566061,1.679239875,1.448931325,5.617618965,5.493276459,5.629616789,12.05352821,1.484975667,8.57501253,7.617797549,5.62163448,42
1986,14.02716914,11.60887928,0.890604845,1.65070449,0.994085523,0.623465816,0.435963839,0.515964566,NA,0.341629128,0.144158003,2.652260333,2.293242717,2.636122317,2.356138814,12.17793352,12.02045168,3.991365077,6.920869346,3.348613197,4.596172857,7.129938652,6.691969321,0.31280404,0.155665107,0.846688389,0.960106123,0.527723604,0.090280296,0.425308177,1.000131055,1.156060048,6.763169046,1.045674278,0.592382833,0.028739137,0.433047905,0.085310514,34.39300828,33.78069506,2.731218968,2.688093766,0.633682182,1.251493399,1.23479417,1.862342142,0.286988397,0.218341521,3.577450081,2.826084064,0.159966229,0.025430107,14.78838651,14.26553268,3.489011236,6.247154008,4.189715063,0.098411942,0.180663918,0.256961224,0.930538078,15.86351829,13.63153186,0.981046326,0.749301872,0.85408748,0.705551284,3.173459897,3.077768241,2.431111075,10.08696592,0.819545029,6.582944955,6.919746745,4.225525137,42
1987,14.67061381,9.643199295,1.014819174,2.340291284,0.792082721,0.62704383,0.235203965,0.160872498,NA,0.02013581,0.020611976,2.005237921,1.751624838,2.703725661,2.772816064,12.5921018,14.38826375,4.039522397,6.162692601,3.46759576,4.514488671,6.437477332,6.145189793,0.022377929,0.019479382,0.751610562,1.062723817,0.023000631,0.022581619,0.185244936,1.293255752,0.663193992,5.606307249,0.650077503,0.595973126,0.158361797,0.212079571,0.05704061,25.24983588,23.36010627,2.561777539,2.920922512,0.676704922,1.181202191,0.994097309,1.908666039,0.469128151,0.917690553,4.45648526,3.077617297,0.068788238,0.10188092,18.84586918,14.97846988,4.400600243,8.735801492,5.137189168,0.211676418,0.214840303,0.437922726,0.597729833,12.78813215,11.97959731,1.035091393,0.824999254,0.458243665,0.230128472,2.717579648,2.915860917,3.077931931,10.1436971,0.486218243,5.861438223,5.822172356,3.940753595,42
1988,27.38625942,21.26588213,2.653611233,4.725834305,1.245415401,1.015257795,0.475915501,0.773494947,NA,0.788765094,0.496036388,3.692090453,2.969155828,5.036931272,5.542292606,22.25476765,26.58369227,8.62259369,10.04251552,5.356780567,8.070371461,7.591548882,8.117135662,0.515973155,0.429741111,1.617665154,2.443617351,1.528396742,1.386220856,0.465613944,4.061331389,1.851412695,10.71582337,2.755684801,0.943794523,0.434448873,0.643091147,0.047635919,35.45140396,33.11495671,5.385072051,6.948469354,2.707506615,3.558859917,2.385122151,3.70965961,1.040466039,2.216356163,7.309225947,5.620412386,0.357619738,0.307184753,35.33539016,25.89893954,8.736126914,NA,14.62719514,0.480164366,0.458497608,0.95786926,0.862002656,25.51984654,24.10349665,2.122289202,1.691100013,0.646149041,0.520122166,5.439165479,6.479058644,6.534449654,20.37505216,1.611206467,10.58189178,10.54082672,7.196943815,42
1989,12.59186394,11.41086943,1.494507416,2.647835778,0.52079974,0.704794497,0.255773046,0.435233861,NA,0.284797825,0.062186746,2.084412252,2.144504798,2.3229856,2.277848869,10.24432509,13.21113288,4.14459043,5.437439267,2.966792355,4.300484493,4.079502039,4.151576265,0.180044627,0.137215227,0.713832444,1.606969074,0.584272778,0.389392717,0.316985974,1.776766823,0.961322565,4.663900719,1.250240969,0.496886474,0.233235614,0.395934159,0.08597865,13.17758752,13.41467749,2.091200069,2.571261191,1.259042653,1.331805847,2.184863509,2.846050124,0.368974382,0.941184334,3.411867308,2.345964861,0.174375518,0.29655867,17.08763277,11.4409741,6.861333156,NA,10.31691472,0.219635703,0.276681615,0.129940777,0.262235479,10.06755816,10.23463396,0.901816758,0.673382929,0.278568978,0.193458362,2.837379242,2.929610055,2.977267026,8.037858541,0.689506863,3.428966149,4.146688741,3.360759625,42
1990,11.39023843,10.46997545,2.032194364,3.254994078,0.761549807,0.824004252,0.31873228,0.584237069,NA,0.592717793,0.478111336,1.77496987,1.750907323,2.309101344,1.965710948,11.2875503,12.63878917,5.736801288,6.687647074,4.41352707,5.937598794,5.411728018,4.938116679,0.428797764,0.590688041,0.332687139,1.50332389,1.059092118,0.94463753,0.325259158,2.706002402,1.804340176,4.869961223,2.573715698,0.782621597,0.558206667,0.855686913,0.047895989,13.49791334,14.5920601,2.321604102,2.390895343,2.126808727,2.386496014,1.938781842,2.111040246,0.687934444,1.070960495,5.337711454,3.402369022,0.646839462,0.337805975,19.25688455,15.4837168,5.078175404,NA,12.54915894,0.321155948,0.403116355,0.416609549,0.473223476,12.93881023,13.01453382,1.025847006,1.089907365,0.298231417,0.271587513,3.734506484,3.895590823,3.578282857,7.633806966,1.03809836,5.662996385,5.648938715,3.911173869,42
1991,11.5768308,11.22954499,2.963879984,4.320772699,0.934594667,1.015206187,0.398819919,0.644154498,NA,0.57584115,0.501440465,2.640993446,2.583149244,3.374655681,3.095990643,15.63450396,15.26979547,6.705253679,9.727563854,6.662098376,9.327479898,5.946689497,6.265963086,0.544038629,0.774257151,0.513394112,2.527463818,1.403031481,1.32625227,0.726803905,3.205058732,2.198740767,6.675141589,3.162369721,0.810584042,0.653871713,1.397206058,0.076826965,19.65674514,18.56974934,3.452628454,3.720410765,2.658415898,3.588011192,1.54334427,2.736352972,0.770382324,1.325357382,5.458622253,3.81394756,0.345795435,0.472235463,22.87733402,20.597972,5.252125244,NA,16.18190999,0.329886309,0.514926179,0.522475252,0.36912969,17.78274222,15.59761069,1.626720418,1.123938064,0.562223229,0.252968023,4.986469426,4.731031127,5.402968642,10.84796001,1.499105695,7.411147921,7.548463599,5.02113013,42
